Well name,"MD
(m)","Incl
(°)","Azim Grid
(°)","TVD
(m)"
SY116,0,0,0,0
SY116,0.125,0.207,173.219,0.125
SY116,0.25,0.204,141.512,0.25
SY116,0.375,0.199,132.958,0.375
SY116,0.5,0.194,110.651,0.5
SY116,0.625,0.191,124.996,0.625
SY116,0.75,0.185,132.649,0.75
SY116,0.875,0.179,179.588,0.875
SY116,1,0.176,133.746,1
SY116,1.125,0.17,130.377,1.125
SY116,1.25,0.167,126.617,1.25
SY116,1.375,0.162,124.602,1.375
SY116,1.5,0.156,172.626,1.5
SY116,1.625,0.153,177.157,1.625
SY116,1.75,0.149,175.516,1.75
SY116,1.875,0.148,7.718,1.875
SY116,2,0.148,96.29,2
SY116,2.125,0.148,1.757,2.125
SY116,2.25,0.148,195.94,2.25
SY116,2.375,0.147,204.01,2.375
SY116,2.5,0.145,211.034,2.5
SY116,2.625,0.146,224.196,2.625
SY116,2.75,0.146,204.784,2.75
SY116,2.875,0.145,199.457,2.875
SY116,3,0.145,187.258,3
SY116,3.125,0.144,146.84,3.125
SY116,3.25,0.145,172.036,3.25
SY116,3.375,0.145,97.945,3.375
SY116,3.5,0.146,55.3,3.5
SY116,3.625,0.145,81.671,3.625
SY116,3.75,0.145,75.364,3.75
SY116,3.875,0.145,41.529,3.875
SY116,4,0.144,82.451,4
SY116,4.125,0.144,55.815,4.125
SY116,4.25,0.141,29.782,4.25
SY116,4.375,0.14,106.538,4.375
SY116,4.5,0.14,193.325,4.5
SY116,4.625,0.141,104.501,4.625
SY116,4.75,0.141,114.055,4.75
SY116,4.875,0.141,115.87,4.875
SY116,5,0.141,105.985,5
SY116,5.125,0.141,93.667,5.125
SY116,5.25,0.142,84.183,5.25
SY116,5.375,0.142,212.07,5.375
SY116,5.5,0.142,119.285,5.5
SY116,5.625,0.142,86.446,5.625
SY116,5.75,0.142,104.37,5.75
SY116,5.875,0.142,35.756,5.875
SY116,6,0.142,24.731,6
SY116,6.125,0.142,38.511,6.125
SY116,6.25,0.142,34.862,6.25
SY116,6.375,0.142,32.74,6.375
SY116,6.5,0.142,81.582,6.5
SY116,6.625,0.143,124.378,6.625
SY116,6.75,0.143,154.886,6.75
SY116,6.875,0.143,154.512,6.875
SY116,7,0.144,146.284,7
SY116,7.125,0.143,122.418,7.125
SY116,7.25,0.144,132.009,7.25
SY116,7.375,0.142,150.186,7.375
SY116,7.5,0.142,93.02,7.5
SY116,7.625,0.141,92.778,7.625
SY116,7.75,0.141,127.817,7.75
SY116,7.875,0.141,122.12,7.875
SY116,8,0.142,66.581,8
SY116,8.125,0.142,3.657,8.125
SY116,8.25,0.142,341.656,8.25
SY116,8.375,0.142,70.669,8.375
SY116,8.5,0.142,37.455,8.5
SY116,8.625,0.143,65.508,8.625
SY116,8.75,0.144,60.988,8.75
SY116,8.875,0.144,64.401,8.875
SY116,9,0.144,36.592,9
SY116,9.125,0.144,58.786,9.125
SY116,9.25,0.144,101.264,9.25
SY116,9.375,0.144,50.568,9.375
SY116,9.5,0.145,43.421,9.5
SY116,9.625,0.145,27.905,9.625
SY116,9.75,0.147,52.774,9.75
SY116,9.875,0.148,67.941,9.875
SY116,10,0.148,61.861,10
SY116,10.125,0.145,22.79,10.125
SY116,10.25,0.144,37.873,10.25
SY116,10.375,0.144,34.023,10.375
SY116,10.5,0.143,30.732,10.5
SY116,10.625,0.143,28.058,10.625
SY116,10.75,0.143,12.251,10.75
SY116,10.875,0.144,4.352,10.875
SY116,11,0.145,5.458,11
SY116,11.125,0.145,10.78,11.125
SY116,11.25,0.146,13.195,11.25
SY116,11.375,0.147,13.136,11.375
SY116,11.5,0.148,16.044,11.5
SY116,11.625,0.149,23.184,11.625
SY116,11.75,0.149,28.073,11.75
SY116,11.875,0.151,40.799,11.875
SY116,12,0.152,53.168,12
SY116,12.125,0.152,57.313,12.125
SY116,12.25,0.154,54.021,12.25
SY116,12.375,0.153,42.879,12.375
SY116,12.5,0.155,358.426,12.5
SY116,12.625,0.156,332.191,12.625
SY116,12.75,0.155,325.486,12.75
SY116,12.875,0.152,316.09,12.875
SY116,13,0.15,306.974,13
SY116,13.125,0.152,306.974,13.125
SY116,13.25,0.153,298.167,13.25
SY116,13.375,0.155,293.54,13.375
SY116,13.5,0.156,293.33,13.5
SY116,13.625,0.157,63.274,13.625
SY116,13.75,0.158,63.089,13.75
SY116,13.875,0.16,66.799,13.875
SY116,14,0.162,75.965,14
SY116,14.125,0.163,81.629,14.125
SY116,14.25,0.163,91.349,14.25
SY116,14.375,0.163,98.116,14.375
SY116,14.5,0.163,100.298,14.5
SY116,14.625,0.165,253.886,14.625
SY116,14.75,0.166,241.542,14.75
SY116,14.875,0.166,228.409,14.875
SY116,15,0.167,192.075,15
SY116,15.125,0.168,196.047,15.125
SY116,15.25,0.169,203.444,15.25
SY116,15.375,0.17,196.79,15.375
SY116,15.5,0.17,180.273,15.5
SY116,15.625,0.171,154.987,15.625
SY116,15.75,0.172,128.436,15.75
SY116,15.875,0.172,116.495,15.875
SY116,16,0.174,100.278,16
SY116,16.125,0.175,296.097,16.125
SY116,16.25,0.175,298.348,16.25
SY116,16.375,0.176,293.744,16.375
SY116,16.5,0.177,287.028,16.5
SY116,16.625,0.178,278.117,16.625
SY116,16.75,0.179,258.92,16.75
SY116,16.875,0.18,147.618,16.875
SY116,17,0.18,156.448,17
SY116,17.125,0.181,168.981,17.125
SY116,17.25,0.182,35.933,17.25
SY116,17.375,0.182,176.293,17.375
SY116,17.5,0.183,173.359,17.5
SY116,17.625,0.183,168.962,17.625
SY116,17.75,0.184,156.786,17.75
SY116,17.875,0.184,144.115,17.875
SY116,18,0.185,135.828,18
SY116,18.125,0.185,270.183,18.125
SY116,18.25,0.186,285.056,18.25
SY116,18.375,0.187,289.37,18.375
SY116,18.5,0.187,287.659,18.5
SY116,18.625,0.188,282.86,18.625
SY116,18.75,0.188,264.29,18.75
SY116,18.875,0.189,252.301,18.875
SY116,19,0.189,133.681,19
SY116,19.125,0.19,140.492,19.125
SY116,19.25,0.191,146.261,19.25
SY116,19.375,0.191,149.353,19.375
SY116,19.5,0.192,149.073,19.5
SY116,19.625,0.192,136.29,19.625
SY116,19.75,0.193,128.134,19.75
SY116,19.875,0.193,268.855,19.875
SY116,20,0.194,290.104,20
SY116,20.125,0.194,302.513,20.125
SY116,20.25,0.195,324.656,20.25
SY116,20.375,0.195,330.653,20.375
SY116,20.5,0.196,334.969,20.5
SY116,20.625,0.196,327.88,20.625
SY116,20.75,0.196,320.583,20.75
SY116,20.875,0.197,298.258,20.875
SY116,21,0.197,124.166,21
SY116,21.125,0.198,129.348,21.125
SY116,21.25,0.198,139.778,21.25
SY116,21.375,0.199,136.853,21.375
SY116,21.5,0.199,134.766,21.5
SY116,21.625,0.2,134.658,21.625
SY116,21.75,0.2,131.748,21.75
SY116,21.875,0.201,131.984,21.875
SY116,22,0.202,132.906,22
SY116,22.125,0.203,133.229,22.125
SY116,22.25,0.204,138.264,22.25
SY116,22.375,0.205,153.284,22.375
SY116,22.5,0.205,164.014,22.5
SY116,22.625,0.207,183.71,22.625
SY116,22.75,0.209,190.899,22.75
SY116,22.875,0.209,189.307,22.875
SY116,23,0.211,179.276,23
SY116,23.125,0.212,181.35,23.125
SY116,23.25,0.212,180.207,23.25
SY116,23.375,0.214,179.521,23.375
SY116,23.5,0.214,179.313,23.5
SY116,23.625,0.215,89.597,23.625
SY116,23.75,0.216,83.541,23.75
SY116,23.875,0.217,76.085,23.875
SY116,24,0.218,210.752,24
SY116,24.125,0.219,233.817,24.125
SY116,24.25,0.219,246.042,24.25
SY116,24.375,0.22,262.82,24.375
SY116,24.5,0.221,270.46,24.5
SY116,24.625,0.222,167.605,24.625
SY116,24.75,0.224,262.59,24.75
SY116,24.875,0.224,275.71,24.875
SY116,25,0.226,284.712,25
SY116,25.125,0.227,141.85,25.125
SY116,25.25,0.228,137.125,25.25
SY116,25.375,0.229,131.58,25.375
SY116,25.5,0.23,296.429,25.5
SY116,25.625,0.231,294.777,25.625
SY116,25.75,0.232,290.842,25.75
SY116,25.875,0.234,288.925,25.875
SY116,26,0.234,331.503,26
SY116,26.125,0.236,56.78,26.125
SY116,26.25,0.237,56.873,26.25
SY116,26.375,0.237,57.738,26.375
SY116,26.5,0.238,59.734,26.5
SY116,26.625,0.239,59.88,26.625
SY116,26.75,0.24,58.225,26.75
SY116,26.875,0.241,57.595,26.875
SY116,27,0.241,58.166,27
SY116,27.125,0.242,69.892,27.125
SY116,27.25,0.243,93.616,27.25
SY116,27.375,0.243,112.265,27.375
SY116,27.5,0.244,337.302,27.5
SY116,27.625,0.245,100.023,27.625
SY116,27.75,0.246,90.168,27.75
SY116,27.875,0.246,56.718,27.875
SY116,28,0.247,33.254,28
SY116,28.125,0.247,28.356,28.125
SY116,28.25,0.248,245.717,28.25
SY116,28.375,0.249,245.245,28.375
SY116,28.5,0.25,251.469,28.5
SY116,28.625,0.251,250.833,28.625
SY116,28.75,0.251,247.442,28.75
SY116,28.875,0.251,243.267,28.875
SY116,29,0.252,236.467,29
SY116,29.125,0.252,77.012,29.125
SY116,29.25,0.253,104.449,29.25
SY116,29.375,0.254,356.202,29.375
SY116,29.5,0.254,357.487,29.5
SY116,29.625,0.255,15.841,29.625
SY116,29.75,0.255,117.402,29.75
SY116,29.875,0.256,100.153,29.875
SY116,30,0.257,68.446,30
SY116,30.125,0.257,58.019,30.125
SY116,30.25,0.258,57.685,30.25
SY116,30.375,0.259,263.379,30.375
SY116,30.5,0.259,260.125,30.5
SY116,30.625,0.26,251.847,30.625
SY116,30.75,0.261,244.288,30.75
SY116,30.875,0.262,241.696,30.875
SY116,31,0.263,235.412,31
SY116,31.125,0.264,225.285,31.125
SY116,31.25,0.265,218.38,31.25
SY116,31.375,0.267,206.591,31.375
SY116,31.5,0.267,296.789,31.5
SY116,31.625,0.269,297.089,31.625
SY116,31.75,0.27,111.93,31.75
SY116,31.875,0.271,107.019,31.875
SY116,32,0.272,88.443,32
SY116,32.125,0.273,53.869,32.125
SY116,32.25,0.274,45.539,32.25
SY116,32.375,0.276,33.874,32.375
SY116,32.5,0.277,12.17,32.5
SY116,32.625,0.278,5.333,32.625
SY116,32.75,0.279,9.914,32.75
SY116,32.875,0.28,12.448,32.875
SY116,33,0.282,29.694,33
SY116,33.125,0.283,75.992,33.125
SY116,33.25,0.284,93.829,33.25
SY116,33.375,0.286,104.23,33.375
SY116,33.5,0.287,103.852,33.5
SY116,33.625,0.288,102.935,33.625
SY116,33.75,0.289,101.159,33.75
SY116,33.875,0.291,99.806,33.875
SY116,34,0.292,99.29,34
SY116,34.125,0.293,98.747,34.125
SY116,34.25,0.295,98.744,34.25
SY116,34.375,0.296,98.742,34.375
SY116,34.5,0.298,98.739,34.5
SY116,34.625,0.298,98.738,34.625
SY116,34.75,0.3,98.734,34.75
SY116,34.875,0.302,98.731,34.875
SY116,35,0.303,98.729,35
SY116,35.125,0.304,98.726,35.125
SY116,35.25,0.305,98.723,35.25
SY116,35.375,0.305,98.721,35.375
SY116,35.5,0.307,98.718,35.5
SY116,35.625,0.308,98.715,35.625
SY116,35.75,0.308,98.713,35.75
SY116,35.875,0.31,98.71,35.875
SY116,36,0.31,98.708,36
SY116,36.125,0.312,98.705,36.125
SY116,36.25,0.314,98.702,36.25
SY116,36.375,0.314,98.7,36.375
SY116,36.5,0.315,98.697,36.5
SY116,36.625,0.317,98.694,36.625
SY116,36.75,0.317,98.692,36.75
SY116,36.875,0.319,98.689,36.875
SY116,37,0.32,98.685,37
SY116,37.125,0.32,98.684,37.125
SY116,37.25,0.321,98.681,37.25
SY116,37.375,0.322,98.677,37.375
SY116,37.5,0.323,98.676,37.5
SY116,37.625,0.323,98.672,37.625
SY116,37.75,0.324,98.671,37.75
SY116,37.875,0.324,98.667,37.875
SY116,38,0.325,98.664,38
SY116,38.125,0.325,98.663,38.125
SY116,38.25,0.325,98.659,38.25
SY116,38.375,0.326,98.656,38.375
SY116,38.5,0.326,98.654,38.5
SY116,38.625,0.326,98.651,38.625
SY116,38.75,0.327,98.648,38.75
SY116,38.875,0.327,98.646,38.875
SY116,39,0.328,98.643,39
SY116,39.125,0.329,98.64,39.125
SY116,39.25,0.329,98.638,39.25
SY116,39.375,0.33,98.635,39.375
SY116,39.5,0.33,98.633,39.5
SY116,39.625,0.331,98.63,39.625
SY116,39.75,0.332,98.627,39.75
SY116,39.875,0.332,98.625,39.875
SY116,40,0.333,98.622,40
SY116,40.125,0.333,98.619,40.125
SY116,40.25,0.333,98.617,40.25
SY116,40.375,0.333,98.614,40.375
SY116,40.5,0.333,98.61,40.5
SY116,40.625,0.333,98.609,40.625
SY116,40.75,0.334,98.606,40.75
SY116,40.875,0.334,98.604,40.875
SY116,41,0.334,98.601,41
SY116,41.125,0.334,98.556,41.125
SY116,41.25,0.334,98.514,41.25
SY116,41.375,0.335,98.432,41.375
SY116,41.5,0.335,98.418,41.5
SY116,41.625,0.335,98.412,41.625
SY116,41.75,0.336,98.396,41.75
SY116,41.875,0.336,98.377,41.875
SY116,42,0.337,98.366,42
SY116,42.125,0.337,98.344,42.125
SY116,42.25,0.338,98.311,42.25
SY116,42.375,0.338,98.308,42.375
SY116,42.5,0.338,98.298,42.5
SY116,42.625,0.338,98.29,42.625
SY116,42.75,0.339,98.268,42.75
SY116,42.875,0.339,98.239,42.875
SY116,43,0.339,98.224,43
SY116,43.125,0.34,98.192,43.125
SY116,43.25,0.34,98.159,43.25
SY116,43.375,0.34,98.168,43.375
SY116,43.5,0.341,98.185,43.5
SY116,43.625,0.342,98.123,43.625
SY116,43.75,0.342,98.093,43.75
SY116,43.875,0.342,98.033,43.875
SY116,44,0.343,98.004,44
SY116,44.125,0.343,97.941,44.125
SY116,44.25,0.344,97.875,44.25
SY116,44.375,0.345,97.843,44.375
SY116,44.5,0.346,97.813,44.5
SY116,44.625,0.346,97.795,44.625
SY116,44.75,0.346,97.791,44.75
SY116,44.875,0.347,97.758,44.875
SY116,45,0.348,97.824,45
SY116,45.125,0.349,97.834,45.125
SY116,45.25,0.35,97.863,45.25
SY116,45.375,0.351,97.936,45.375
SY116,45.5,0.351,97.966,45.5
SY116,45.625,0.352,97.948,45.625
SY116,45.75,0.353,97.939,45.75
SY116,45.875,0.354,97.921,45.875
SY116,46,0.354,97.912,46
SY116,46.125,0.355,97.912,46.125
SY116,46.25,0.356,97.882,46.25
SY116,46.375,0.356,97.824,46.375
SY116,46.5,0.357,97.798,46.5
SY116,46.625,0.357,97.752,46.625
SY116,46.75,0.358,97.708,46.75
SY116,46.875,0.358,97.688,46.875
SY116,47,0.359,97.665,47
SY116,47.125,0.36,97.662,47.125
SY116,47.25,0.36,97.71,47.25
SY116,47.375,0.361,97.755,47.375
SY116,47.5,0.362,97.778,47.5
SY116,47.625,0.362,97.824,47.625
SY116,47.75,0.363,97.784,47.75
SY116,47.875,0.364,97.782,47.875
SY116,48,0.365,97.713,48
SY116,48.125,0.365,97.671,48.125
SY116,48.25,0.366,97.665,48.25
SY116,48.375,0.366,97.652,48.375
SY116,48.5,0.367,97.644,48.5
SY116,48.625,0.367,97.642,48.625
SY116,48.75,0.368,97.637,48.75
SY116,48.875,0.369,97.603,48.875
SY116,49,0.37,97.532,49
SY116,49.125,0.37,97.467,49.125
SY116,49.25,0.371,97.437,49.25
SY116,49.375,0.371,97.376,49.375
SY116,49.5,0.371,97.309,49.5
SY116,49.625,0.372,97.275,49.625
SY116,49.75,0.372,97.214,49.75
SY116,49.875,0.373,97.163,49.875
SY116,50,0.374,97.139,50
SY116,50.125,0.375,97.093,50.125
SY116,50.25,0.375,97.072,50.25
SY116,50.375,0.376,96.993,50.375
SY116,50.5,0.377,96.947,50.5
SY116,50.625,0.378,96.927,50.625
SY116,50.75,0.379,96.896,50.75
SY116,50.875,0.38,96.879,50.875
SY116,51,0.381,96.877,51
SY116,51.125,0.382,96.884,51.124
SY116,51.25,0.383,96.833,51.249
SY116,51.375,0.383,96.796,51.374
SY116,51.5,0.384,96.737,51.499
SY116,51.625,0.385,96.7,51.624
SY116,51.75,0.385,96.662,51.749
SY116,51.875,0.386,96.606,51.874
SY116,52,0.386,96.587,51.999
SY116,52.125,0.387,96.479,52.124
SY116,52.25,0.388,96.381,52.249
SY116,52.375,0.389,96.336,52.374
SY116,52.5,0.39,96.25,52.499
SY116,52.625,0.391,96.171,52.624
SY116,52.75,0.391,96.134,52.749
SY116,52.875,0.392,96.068,52.874
SY116,53,0.393,96.041,52.999
SY116,53.125,0.394,96.045,53.124
SY116,53.25,0.395,95.976,53.249
SY116,53.375,0.396,95.913,53.374
SY116,53.5,0.396,95.885,53.499
SY116,53.625,0.397,95.837,53.624
SY116,53.75,0.397,95.817,53.749
SY116,53.875,0.398,95.783,53.874
SY116,54,0.399,95.754,53.999
SY116,54.125,0.399,95.741,54.124
SY116,54.25,0.4,95.719,54.249
SY116,54.375,0.4,95.705,54.374
SY116,54.5,0.401,95.702,54.499
SY116,54.625,0.401,95.733,54.624
SY116,54.75,0.402,95.768,54.749
SY116,54.875,0.402,95.771,54.874
SY116,55,0.402,95.779,54.999
SY116,55.125,0.402,95.785,55.124
SY116,55.25,0.403,95.803,55.249
SY116,55.375,0.403,95.833,55.374
SY116,55.5,0.403,95.853,55.499
SY116,55.625,0.404,95.811,55.624
SY116,55.75,0.405,95.777,55.749
SY116,55.875,0.405,95.762,55.874
SY116,56,0.406,95.735,55.999
SY116,56.125,0.407,95.643,56.124
SY116,56.25,0.407,95.598,56.249
SY116,56.375,0.408,95.513,56.374
SY116,56.5,0.409,95.436,56.499
SY116,56.625,0.409,95.4,56.624
SY116,56.75,0.409,95.305,56.749
SY116,56.875,0.41,95.244,56.874
SY116,57,0.41,95.128,56.999
SY116,57.125,0.41,95.02,57.124
SY116,57.25,0.411,95.001,57.249
SY116,57.375,0.411,94.969,57.374
SY116,57.5,0.412,94.944,57.499
SY116,57.625,0.412,94.906,57.624
SY116,57.75,0.412,94.793,57.749
SY116,57.875,0.413,94.688,57.874
SY116,58,0.413,94.67,57.999
SY116,58.125,0.414,94.578,58.124
SY116,58.25,0.414,94.535,58.249
SY116,58.375,0.415,94.458,58.374
SY116,58.5,0.415,94.392,58.499
SY116,58.625,0.416,94.363,58.624
SY116,58.75,0.416,94.26,58.749
SY116,58.875,0.416,94.194,58.874
SY116,59,0.416,94.179,58.999
SY116,59.125,0.416,94.166,59.124
SY116,59.25,0.416,94.153,59.249
SY116,59.375,0.416,94.146,59.374
SY116,59.5,0.416,94.111,59.499
SY116,59.625,0.417,94.069,59.624
SY116,59.75,0.417,94.045,59.749
SY116,59.875,0.417,94.006,59.874
SY116,60,0.417,93.983,59.999
SY116,60.125,0.417,93.963,60.124
SY116,60.25,0.417,93.943,60.249
SY116,60.375,0.416,93.893,60.374
SY116,60.5,0.416,93.838,60.499
SY116,60.625,0.416,93.839,60.624
SY116,60.75,0.416,93.823,60.749
SY116,60.875,0.415,93.79,60.874
SY116,61,0.415,93.763,60.999
SY116,61.125,0.415,93.751,61.124
SY116,61.25,0.415,93.726,61.249
SY116,61.375,0.415,93.74,61.374
SY116,61.5,0.415,93.77,61.499
SY116,61.625,0.415,93.754,61.624
SY116,61.75,0.414,93.75,61.749
SY116,61.875,0.414,93.746,61.874
SY116,62,0.414,93.742,61.999
SY116,62.125,0.414,93.74,62.124
SY116,62.25,0.414,93.737,62.249
SY116,62.375,0.413,93.699,62.374
SY116,62.5,0.413,93.681,62.499
SY116,62.625,0.413,93.644,62.624
SY116,62.75,0.412,93.604,62.749
SY116,62.875,0.412,93.605,62.874
SY116,63,0.412,93.633,62.999
SY116,63.125,0.412,93.661,63.124
SY116,63.25,0.412,93.72,63.249
SY116,63.375,0.411,93.782,63.374
SY116,63.5,0.411,93.785,63.499
SY116,63.625,0.411,93.79,63.624
SY116,63.75,0.411,93.793,63.749
SY116,63.875,0.411,93.794,63.874
SY116,64,0.411,93.822,63.999
SY116,64.125,0.411,93.88,64.124
SY116,64.25,0.411,93.911,64.249
SY116,64.375,0.41,93.978,64.374
SY116,64.5,0.41,93.986,64.499
SY116,64.625,0.41,94.013,64.624
SY116,64.75,0.41,94.071,64.749
SY116,64.875,0.41,94.104,64.874
SY116,65,0.41,94.174,64.999
SY116,65.125,0.41,94.231,65.124
SY116,65.25,0.41,94.259,65.249
SY116,65.375,0.41,94.341,65.374
SY116,65.5,0.409,94.45,65.499
SY116,65.625,0.409,94.503,65.624
SY116,65.75,0.408,94.548,65.749
SY116,65.875,0.408,94.59,65.874
SY116,66,0.408,94.608,65.999
SY116,66.125,0.407,94.67,66.124
SY116,66.25,0.407,94.711,66.249
SY116,66.375,0.407,94.808,66.374
SY116,66.5,0.406,94.919,66.499
SY116,66.625,0.406,94.981,66.624
SY116,66.75,0.406,95.122,66.749
SY116,66.875,0.405,95.28,66.874
SY116,67,0.405,95.351,66.999
SY116,67.125,0.404,95.533,67.124
SY116,67.25,0.404,95.688,67.249
SY116,67.375,0.404,95.763,67.374
SY116,67.5,0.404,95.936,67.499
SY116,67.625,0.404,96.132,67.624
SY116,67.75,0.404,96.228,67.749
SY116,67.875,0.403,96.415,67.874
SY116,68,0.403,96.504,67.999
SY116,68.125,0.403,96.674,68.124
SY116,68.25,0.403,96.832,68.249
SY116,68.375,0.403,96.876,68.374
SY116,68.5,0.403,96.956,68.499
SY116,68.625,0.403,97.088,68.624
SY116,68.75,0.403,97.148,68.749
SY116,68.875,0.403,97.25,68.874
SY116,69,0.403,97.382,68.999
SY116,69.125,0.403,97.461,69.124
SY116,69.25,0.404,97.606,69.249
SY116,69.375,0.404,97.67,69.374
