Well name,"MD
(m)","Incl
(°)","Azim Grid
(°)","TVD
(m)"
SY13,500,0.87,50.605,500
SY13,525,0.989,49.079,524.997
SY13,550,0.997,50.835,549.993
SY13,575,1.157,51.172,574.988
SY13,600,1.156,59.982,599.983
SY13,625,1.094,50.553,624.978
SY13,650,1.072,60.431,649.973
SY13,675,1.315,52.856,674.968
SY13,700,1.019,47.302,699.962
SY13,725,0.936,47.391,724.959
SY13,750,0.922,48.469,749.956
SY13,775,0.848,54.531,774.953
SY13,800,0.91,59.548,799.95
SY13,825,1.16,59.276,824.946
SY13,850,1.017,52.837,849.942
SY13,875,1.084,62.39,874.937
SY13,900,0.83,66.412,899.934
SY13,925,1.031,63.516,924.931
SY13,950,0.844,71.737,949.928
SY13,975,0.873,58.217,974.925
SY13,1000,0.837,61.295,999.922
SY13,1025,1.007,68.113,1024.921
SY13,1050,1.088,58.612,1049.921
SY13,1075,1.036,59.685,1074.921
SY13,1100,1.057,60.801,1099.921
SY13,1125,0.956,66.657,1124.921
SY13,1150,0.918,63.027,1149.921
SY13,1175,1.043,62.475,1174.921
SY13,1200,0.96,63.23,1199.921
SY13,1225,0.914,62.289,1224.921
SY13,1250,0.747,69.439,1249.921
SY13,1275,0.661,69.643,1274.921
SY13,1300,0.762,61.378,1299.921
SY13,1325,0.737,59.947,1324.921
SY13,1350,0.73,42.07,1349.921
SY13,1375,0.482,49.532,1374.921
SY13,1400,0.467,46.149,1399.921
SY13,1425,0.383,97.25,1424.921
SY13,1450,0.28,213.809,1449.921
SY13,1475,0.286,139.892,1474.921
SY13,1500,0.272,61.964,1499.921
SY13,1525,0.25,143.997,1524.921
SY13,1550,0.353,243.431,1549.921
SY13,1575,0.247,120.533,1574.921
SY13,1600,0.216,200.225,1599.921
SY13,1625,0.379,274.589,1624.921
SY13,1650,0.233,318.535,1649.921
SY13,1675,0.305,287.883,1674.921
SY13,1700,0.155,253.002,1699.921
SY13,1725,0.118,253.002,1724.921
SY13,1750,0.146,22.822,1749.921
SY13,1775,0.153,40.538,1774.921
SY13,1800,0.253,36.903,1799.921
SY13,1825,0.346,84.06,1824.921
SY13,1850,0.364,88.051,1849.921
SY13,1875,0.41,65.384,1874.921
SY13,1900,0.561,69.818,1899.921
SY13,1925,0.582,72.479,1924.921
SY13,1950,0.733,75.376,1949.921
SY13,1975,0.731,73.769,1974.921
SY13,2000,0.65,70.674,1999.921
SY13,2025,0.628,71.875,2024.921
SY13,2050,0.581,72.119,2049.921
SY13,2075,0.683,85.277,2074.921
SY13,2100,0.557,68.502,2099.921
SY13,2125,0.439,60.469,2124.921
SY13,2150,0.345,43.097,2149.921
SY13,2175,0.201,306.138,2174.921
SY13,2200,0.22,237.471,2199.921
SY13,2225,0.148,247.709,2224.921
SY13,2250,0.269,282.144,2249.921
SY13,2275,0.207,232.84,2274.921
SY13,2300,0.34,239.9,2299.921
SY13,2325,0.606,320.373,2324.921
SY13,2350,0.931,330.084,2349.921
SY13,2375,1.343,333.031,2374.921
SY13,2400,1.752,334.443,2399.921
SY13,2425,1.717,348.338,2424.921
SY13,2450,1.452,346.603,2449.921
SY13,2475,1.189,336.854,2474.921
SY13,2500,1.01,326.967,2499.921
