Well name,"MD
(m)","Incl
(°)","Azim Grid
(°)","TVD
(m)"
SY9,0,0,0,0
SY9,25,0.35,127.67,25
SY9,50,0.36,130.03,49.999
SY9,75,0.38,165.64,74.998
SY9,100,0.39,187.68,99.997
SY9,125,0.4,217.79,124.996
SY9,150,0.39,212.87,149.996
SY9,175,0.34,245.1,174.995
SY9,200,0.3,233.46,199.994
SY9,225,0.3,206.51,224.993
SY9,250,0.3,202.15,249.992
SY9,275,0.29,203.23,274.991
SY9,300,0.32,205.35,299.99
SY9,325,0.32,154.86,324.989
SY9,350,0.35,198.51,349.988
SY9,375,0.35,180.11,374.987
SY9,400,0.34,140.24,399.986
SY9,425,0.43,153.94,424.986
SY9,450,0.47,149.07,449.985
SY9,475,0.49,139.92,474.984
SY9,500,0.49,97.85,499.984
SY9,525,0.49,85.07,524.983
SY9,550,0.52,91.57,549.982
SY9,575,0.51,93.2,574.981
SY9,600,0.57,96.26,599.98
SY9,625,0.54,105.06,624.979
SY9,650,0.67,101.85,649.977
SY9,675,0.73,110.4,674.975
SY9,700,0.86,107.5,699.973
SY9,725,0.98,106.21,724.97
SY9,750,1.11,109.47,749.966
SY9,775,1.32,109.4,774.96
SY9,800,1.58,111.19,799.952
SY9,825,1.76,111.83,824.942
SY9,850,2.09,112.09,849.927
SY9,875,2.46,113.08,874.908
SY9,900,2.95,114.31,899.88
SY9,925,3.35,115.51,924.842
SY9,950,3.51,116.03,949.798
SY9,975,3.76,116.47,974.748
SY9,1000,3.83,116.34,999.693
SY9,1025,3.55,118.07,1024.641
SY9,1050,3.4,118.75,1049.595
SY9,1075,3.22,119.36,1074.554
SY9,1100,3.18,119.35,1099.515
SY9,1125,3.18,119.51,1124.476
SY9,1150,3.13,120.39,1149.439
SY9,1175,3.06,121.26,1174.402
SY9,1200,2.74,120.56,1199.37
SY9,1225,2.43,121.31,1224.345
SY9,1250,2.19,120.93,1249.325
SY9,1275,2.21,116.92,1274.306
SY9,1300,2.19,115.28,1299.288
SY9,1325,2.05,117.81,1324.271
SY9,1350,1.72,116.27,1349.258
SY9,1375,1.57,115.49,1374.248
SY9,1400,1.46,120.83,1399.239
SY9,1425,1.34,124.4,1424.231
SY9,1450,1.27,120.04,1449.225
SY9,1475,1.11,122.28,1474.22
SY9,1500,0.95,117.84,1499.216
SY9,1525,0.86,118.18,1524.212
SY9,1550,0.78,116.11,1549.21
SY9,1575,0.73,112.35,1574.208
SY9,1600,0.6,114.85,1599.206
SY9,1625,0.6,133.02,1624.205
SY9,1650,0.43,138.46,1649.204
SY9,1675,0.46,132.03,1674.203
SY9,1700,0.47,138.17,1699.202
SY9,1725,0.43,156.15,1724.202
SY9,1750,0.33,138.63,1749.201
SY9,1775,0.4,134.13,1774.201
SY9,1800,0.5,120.59,1799.2
SY9,1825,0.52,119.53,1824.199
SY9,1850,0.56,116.47,1849.198
SY9,1875,0.61,122.35,1874.197
SY9,1900,0.6,119.08,1899.195
SY9,1925,0.66,122.1,1924.194
SY9,1950,0.72,122.48,1949.192
SY9,1975,0.8,127.79,1974.19
SY9,2000,0.93,134.8,1999.187
SY9,2025,1.01,137.72,2024.183
SY9,2050,0.98,146.32,2049.18
SY9,2075,0.92,144.1,2074.176
SY9,2100,0.93,140.14,2099.173
SY9,2125,0.83,133.71,2124.17
SY9,2150,0.91,130.88,2149.167
SY9,2175,0.83,140.6,2174.164
SY9,2200,0.79,144.63,2199.162
SY9,2225,0.91,138.8,2224.159
SY9,2250,0.66,150.28,2249.157
SY9,2275,0.58,161.7,2274.155
SY9,2300,0.59,160.5,2299.154
SY9,2325,0.71,154.72,2324.152
SY9,2350,0.69,150.47,2349.15
SY9,2375,0.61,146.89,2374.149
SY9,2400,0.59,171.05,2399.148
SY9,2425,0.7,174.48,2424.146
SY9,2450,0.5,186.47,2449.145
SY9,2475,0.57,190.03,2474.144
SY9,2500,0.45,231.37,2499.143
SY9,2525,0.53,231.74,2524.142
SY9,2550,0.52,243.99,2549.141
SY9,2575,0.58,296.86,2574.14
SY9,2600,0.8,308.79,2599.138
SY9,2625,0.9,320.88,2624.135
SY9,2650,1.02,318.61,2649.132
SY9,2675,0.9,307.63,2674.128
SY9,2700,0.86,283.49,2699.125
SY9,2725,1.01,275.02,2724.122
SY9,2750,1.11,274.88,2749.118
SY9,2775,1.06,263.45,2774.113
SY9,2800,1.05,270.77,2799.109
SY9,2825,0.92,270.44,2824.105
SY9,2850,0.87,270.53,2849.103
SY9,2875,0.72,279.14,2874.1
SY9,2900,0.86,288.76,2899.098
SY9,2925,0.75,284.12,2924.095
SY9,2950,0.81,253.13,2949.093
SY9,2975,0.68,220.69,2974.091
SY9,3000,0.7,201,2999.089
SY9,3025,0.61,175.3,3024.088
SY9,3050,0.54,169.81,3049.086
SY9,3075,0.65,168.19,3074.085
SY9,3100,0.5,151.36,3099.084
SY9,3125,0.3,187.77,3124.083
SY9,3150,0.54,55.26,3149.082
SY9,3175,0.29,118.99,3174.081
SY9,3200,0.53,183.4,3199.081
SY9,3225,0.73,170.73,3224.079
SY9,3250,0.57,184.08,3249.078
SY9,3275,0.65,156.66,3274.076
SY9,3300,0.7,154.97,3299.074
SY9,3325,0.7,152.37,3324.073
SY9,3350,0.73,144.54,3349.071
SY9,3375,0.6,162.19,3374.069
SY9,3400,0.46,139.01,3399.068
SY9,3425,0.61,130.86,3424.067
SY9,3450,0.8,134.42,3449.065
SY9,3475,0.82,149.39,3474.063
SY9,3500,0.57,161.55,3499.061
SY9,3525,0.52,123.36,3524.059
SY9,3550,0.55,127.7,3549.058
SY9,3575,0.61,130.51,3574.057
SY9,3600,0.78,129.69,3599.055
SY9,3625,1.1,129.94,3624.052
SY9,3650,1.48,135.8,3649.045
SY9,3675,1.76,147.48,3674.035
SY9,3700,2.24,145.37,3699.02
SY9,3725,2.45,145.85,3724
SY9,3750,2.9,144.61,3748.972
SY9,3775,3.37,143.47,3773.935
SY9,3800,3.04,142.86,3798.896
SY9,3825,2.94,142.35,3823.862
SY9,3850,2.81,141.83,3848.831
SY9,3875,2.73,143.89,3873.802
SY9,3900,2.63,141.38,3898.775
SY9,3925,2.6,142.17,3923.749
SY9,3950,2.72,150.02,3948.722
SY9,3975,2.66,150.87,3973.694
SY9,4000,2.78,151.48,3998.666
SY9,4025,2.8,148.68,4023.637
SY9,4050,2.55,151.84,4048.609
SY9,4075,2.38,156.23,4073.586
SY9,4100,1.96,162.48,4098.568
SY9,4125,2.39,154.2,4123.551
SY9,4150,2.52,151.79,4148.528
SY9,4175,2.64,146.42,4173.502
SY9,4200,2.64,146.57,4198.476
SY9,4225,2.85,147.13,4223.448
SY9,4250,2.75,143.4,4248.418
SY9,4275,2.38,144.61,4273.393
SY9,4300,2.65,137.5,4298.369
SY9,4325,2.31,136.71,4323.346
SY9,4350,2.5,130.11,4348.324
SY9,4375,2.33,129.54,4373.302
SY9,4400,2.2,125.37,4398.282
SY9,4425,2.1,123.35,4423.265
SY9,4450,1.87,128.91,4448.25
SY9,4475,1.87,117.71,4473.236
SY9,4500,2.25,116.98,4498.22
SY9,4525,2.09,110.3,4523.202
SY9,4550,2.32,97.16,4548.184
SY9,4575,1.97,96.04,4573.166
SY9,4600,2.1,89.83,4598.15
SY9,4625,1.99,87.54,4623.135
SY9,4650,1.82,80.97,4648.121
SY9,4675,1.68,85.85,4673.109
SY9,4700,1.62,75.97,4698.099
SY9,4725,1.66,81.71,4723.089
SY9,4750,1.56,79.56,4748.079
SY9,4775,1.69,88.44,4773.069
SY9,4800,1.39,84.49,4798.061
SY9,4825,1.45,82.24,4823.053
SY9,4850,1.27,78.1,4848.046
SY9,4875,1.11,69.97,4873.041
SY9,4900,0.96,65.05,4898.037
SY9,4925,0.92,62.65,4923.033
SY9,4950,1.02,57.54,4948.03
SY9,4975,1.51,64.4,4973.024
SY9,5000,1.45,68.1,4998.015
SY9,5025,1.68,80.14,5023.006
SY9,5050,1.59,82.15,5047.996
SY9,5075,1.97,85.79,5072.983
SY9,5100,1.7,73.94,5097.969
SY9,5125,0.99,104,5122.962
SY9,5150,1.03,107.85,5147.958
SY9,5175,0.92,118.48,5172.955
SY9,5200,0.66,126.86,5197.952
SY9,5225,0.72,124.64,5222.95
SY9,5250,0.56,112.63,5247.949
SY9,5275,0.4,128.84,5272.948
SY9,5300,0.23,191.12,5297.947
SY9,5325,0.1,72,5322.947
SY9,5350,0.19,148.09,5347.947
SY9,5375,0.1,119.09,5372.947
SY9,5400,0.19,195.85,5397.947
SY9,5425,0.34,318.07,5422.947
SY9,5450,0.73,322.01,5447.946
SY9,5475,0.77,334.18,5472.944
SY9,5500,1.43,356.04,5497.939
SY9,5525,2.45,326.41,5522.924
SY9,5550,2.48,335.71,5547.901
SY9,5575,3.03,343,5572.873
SY9,5591,3.53,340.17,5588.873
